自治体名,自治体コード,施設名,ふりがな,住所,管理担当連絡先,指定緊急避難場所との重複指定,福祉避難所,想定収容人数,緯度（度：世界測地系）,経度(度：世界測地系）
さくら市,9214,たいよう保育園,たいようほいくえん,栃木県さくら市松山796-1,028-681-1125,1,,230,36.700098,140.001166
さくら市,9214,ふれあい保育園,ふれあいほいくえん,栃木県さくら市氏家3263-5,028-681-1125,1,,70,36.705914,139.962404
さくら市,9214,わくわく保育園,わくわくほいくえん,栃木県さくら市喜連川837-1,028-681-1125,1,,200,36.722488,140.031016
さくら市,9214,女性アグリセンター,じょせいあぐりせんたー,栃木県さくら市箱森新田157,028-682-9959,1,,90,36.716043,139.968882
さくら市,9214,かんぽの宿栃木喜連川温泉,かんぽのやどとちぎきつれがわおんせん,栃木県さくら市喜連川5296-1,028-686-2822,1,,560,36.721395,140.01314
さくら市,9214,道の駅きつれがわ,みちのえききつれがわ,栃木県さくら市喜連川4145-10,028-686-8180,1,,230,36.715499,140.032636
さくら市,9214,旧喜連川高等学校跡地,きゅうきつれがわこうとうがっこうあとち,栃木県さくら市喜連川561,028-681-1122,1,,1700,36.721491,140.035079
上三川町,93017,上三川町立本郷小学校,ほんごうしょうがっこう,東蓼沼251番地,285569157,1,,710,36.45984468,139.9381553
上三川町,93017,上三川町立本郷北小学校,ほんごうきたしょうがっこう,西汗1585番地,285569157,1,,680,36.47658985,139.9224865
上三川町,93017,上三川町立上三川小学校,かみのかわしょうがっこう,上三川4594番地,285569157,1,,1140,36.43426374,139.9095422
上三川町,93017,上三川町立坂上小学校,さかうえしょうがっこう,坂上628番地,285569157,1,,550,36.41126925,139.9140594
上三川町,93017,上三川町立北小学校,きたしょうがっこう,上蒲生1725番地,285569157,1,,710,36.45717482,139.9019863
上三川町,93017,上三川町立明治小学校,めいじしょうがっこう,大山524番地,285569157,1,,840,36.44277004,139.8809637
上三川町,93017,上三川町立明治南小学校,めいじみなみしょうがっこう,多功1412番地,285569157,1,,770,36.42779949,139.8798256
上三川町,93017,上三川町立本郷中学校,ほんごうちゅうがっこう,東汗520番地,285569157,1,,740,36.46828839,139.9361774
上三川町,93017,上三川町立上三川中学校,かみのかわちゅうがっこう,上三川4279番地,285569157,1,,1010,36.42777001,139.9090508
上三川町,93017,上三川町立明治中学校,めいじちゅうがっこう,大山25番地,285569157,1,,910,36.44243723,139.8885659
上三川町,93017,上三川町役場,かみのかわまちやくば,しらさぎ一丁目1番地,285569114,1,,410,36.43925736,139.9102891
上三川町,93017,上三川町中央公民館,ちゅうおうこうみんかん,上三川3970番地,285569159,1,,240,36.42481753,139.9077066
上三川町,93017,上三川町体育センター,たいいくせんたー,上三川4270番地,285569159,1,,770,36.42674508,139.9070399
上三川町,93017,上三川町立図書館,としょかん,上三川5040番地,285569159,1,,280,36.43438329,139.9140168
上三川町,93017,上三川いきいきプラザ,いきいきぷらざ,上蒲生127番地1,285569128,1,1,780,36.43712452,139.9094004
上三川町,93017,上三川ふれあいの家ひまわり,ふれあいのいえひまわり,上三川5082番地15,285569128,1,,310,36.43667199,139.9164637
上三川町,93017,上三川町農村環境改善センター,のうそんかんきょうかいぜんせんたー,上郷2140番地,285569136,1,,460,36.45518115,139.9219569
下野市,92169,国分寺公民館,こくぶんじこうみんかん,下野市小金井1127 ,0285-40-5563 ,1,,140,36.38738904,139.8414823
下野市,92169,国分寺東小学校,こくぶんじひがししょうがっこう,下野市柴897-1 ,0285-44-3161 ,1,,400,36.3723304,139.8495758
下野市,92169,旧国分寺西小学校,きゅうこくぶんじにししょうがっこう,下野市川中子3278 ,0285-44-0131 ,1,,360,36.3919627,139.8189099
下野市,92169,国分寺武道館,こくぶんじぶどうかん,下野市駅東7-3-13 ,0285-32-8920 ,1,,70,36.3698112,139.8447735
下野市,92169,国分寺東児童館,こくぶんじひがしじどうかん,下野市駅東7-4-1 ,0285-44-2604 ,1,,40,36.3709005,139.8445021
下野市,92169,コミュニティセンター友愛館,こみゅにてぃせんたーゆうあいかん,下野市柴1019-1 ,0285-40-8111 ,1,,100,36.3706224,139.8512258
下野市,92169,国分寺小学校,こくぶんじしょうがっこう,下野市小金井4-2-3 ,0285-44-0004 ,1,,400,36.38092519,139.8410003
下野市,92169,国分寺中学校,こくぶんじちゅうがっこう,下野市小金井4-1-8 ,0285-44-0050 ,1,,"1,150",36.3801679,139.8393399
下野市,92169,国分寺Ｂ＆Ｇ海洋センター体育館,こくぶんじびーあんどじーかいようせんたーたいいくかん,下野市小金井277-2 ,0285-44-5131 ,1,,430,36.3842477,139.8361704
下野市,92169,国分寺駅西児童館,こくぶんじえきにしじどうかん,下野市小金井5-22-1 ,0285-44-0786 ,1,,60,36.3767322,139.8362208
下野市,92169,国分寺聖武館,こくぶんじしょうむかん,下野市国分寺628-2 ,0285-32-8920 ,1,,340,36.3855107,139.8113164
下野市,92169,保健福祉センターゆうゆう館,ほけんふくしせんたーゆうゆうかん,下野市小金井789 ,0285-43-1232 ,1,1,790,36.385259,139.837584
下野市,92169,スポーツ交流館,すぽーつこうりゅうかん,下野市大松山1-7-1 ,0285-52-1124 ,1,,120,36.43201406,139.8576549
下野市,92169,石橋北小学校,いしばしきたしょうがっこう,下野市上古山1932 ,0285-52-1134 ,1,,360,36.4654416,139.8600567
下野市,92169,古山小学校,こやましょうがっこう,下野市下古山3-1-9 ,0285-52-1132 ,1,,300,36.4452518,139.8590829
下野市,92169,石橋高等学校,いしばしこうとうがっこう,下野市石橋845 ,0285-53-2517 ,1,,980,36.4388719,139.8579834
下野市,92169,石橋小学校,いしばししょうがっこう,下野市花の木1-4 ,0285-52-1131 ,1,,410,36.43193276,139.8622376
下野市,92169,石橋体育センター,いしばしたいいくせんたー,下野市大松山1-7-1 ,0285-52-1124 ,1,,820,36.431781,139.8572365
下野市,92169,石橋中学校,いしばしちゅうがっこう,下野市石橋1130 ,0285-52-1130 ,1,,730,36.4383938,139.8455148
下野市,92169,細谷小学校,ほそやしょうがっこう,下野市細谷693 ,0285-52-1133 ,1,,250,36.425867,139.8314716
下野市,92169,石橋図書館,いしばしとしょかん,下野市大松山1-7-3 ,0285-52-1136 ,1,,250,36.4306977,139.8562783
下野市,92169,グリムの館,ぐりむのやかた,下野市下古山747 ,0285-52-1180 ,1,,230,36.4490598,139.8587327
下野市,92169,保健福祉センターきらら館,ほけんふくしせんたーきららかん,下野市下古山1220 ,0285-52-3711 ,1,1,700,36.445081,139.843574
下野市,92169,ふれあいセンター,ふれあいせんたー,下野市下長田146 ,0285-52-1184 ,1,,90,36.4500148,139.8420561
下野市,92169,ふれあい館,ふれあいかん,下野市三王山698-5 ,0285-47-1126 ,1,1,620,36.39762,139.903012
下野市,92169,南河内公民館,みなみかわちこうみんかん,下野市田中681-1 ,0285-48-2393 ,1,,330,36.3847294,139.8775953
下野市,92169,緑小学校,みどりしょうがっこう,下野市緑3-16-1 ,0285-40-6601 ,1,,450,36.3870173,139.8562467
下野市,92169,祇??園小学校,ぎおんしょうがっこう,下野市祇??園2-21-3 ,0285-44-5002 ,1,,450,36.3937804,139.8624515
下野市,92169,南河内体育センター,みなみかわちたいいくせんたー,下野市仁良川1141 ,0285-48-2392 ,1,,730,36.38433665,139.8782979
下野市,92169,仁良川コミュニティセンター,にらがわこみゅにてぃせんたー,下野市仁良川1468 ,0285-32-8887,1,,90,36.3770445,139.8771956
下野市,92169,南河内中学校,みなみかわちちゅうがっこう,下野市薬師寺986 ,0285-48-0010 ,1,,760,36.3867957,139.8762369
下野市,92169,薬師寺小学校,やくしじしょうがっこう,下野市薬師寺1412 ,0285-48-0009 ,1,,480,36.3950834,139.8770643
下野市,92169,吉田東小学校,よしだひがししょうがっこう,下野市中川島7 ,0285-48-5007 ,1,,450,36.3825724,139.910253
下野市,92169,南河内東体育館,みなみかわちひがしたいいくかん,下野市本吉田783 ,0285-32-8920,1,,400,36.3742431,139.90902
下野市,92169,南河内東公民館,みなみかわちひがしこうみんかん,下野市本吉田783 ,0285-48-5511 ,1,,200,36.37453033,139.9094009
下野市,92169,吉田西小学校,よしだにししょうがっこう,下野市下坪山959 ,0285-48-5008 ,1,,450,36.3677684,139.888831
下野市,92169,南河内第二中学校,みなみかわちだいにちゅうがっこう,下野市祇??園4-16-3 ,0285-40-6030 ,1,,800,36.389992,139.8601768
下野市,92169,薬師寺コミュニティセンター,やくしじこみゅにてぃせんたー,下野市薬師寺1387-25 ,0285-48-5522 ,1,,100,36.39549777,139.8740229
下野市,92169,上三川高等学校,かみのかわこうとうがっこう,栃木県河内郡上三川町大字多功994-4 ,0285-53-2367 ,1,,960,36.416008,139.869641
塩谷町,93840,塩谷町立玉生小学校,しおやちょうりつたまにゅうしょうがっこう,栃木県塩谷町大字玉生395,0287-48-7501,,,2418,36.77693091,139.849247
塩谷町,93840,日々輝学園高等学校開桜館,ひびきがくえんこうとうがっこうかいおうかん,栃木県塩谷町大字大宮2579-1,0287-45-1111,,,3802,36.750633,139.871034
塩谷町,93840,塩谷町立塩谷中学校,しおやちょうりつしおやちゅうがっこう,栃木県塩谷町大字飯岡1248,0287-48-7501,,,5341,36.762386,139.840061
塩谷町,93840,星ふる学校くまの木,ほしふるがっこうくまのき,栃木県塩谷町大字熊ノ木802,0287-45-0061,,,551,36.7948749,139.8562568
塩谷町,93840,自然休養村センター,しぜんきゅうようそんせんたー,栃木県塩谷町大字熊ノ木987-2,0287-45-2211,,,643,36.791636,139.854249
塩谷町,93840,認定しおやこども園,にんていしおやこどもえん,栃木県塩谷町大字玉生1057-83,0287-45-1119,,,471,36.781943,139.857336
塩谷町,93840,尚仁沢はーとらんど,しょうじんざわはーとらんど,栃木県塩谷町大字上寺島1618-4,0287-41-1080,,,296,36.82284523,139.8219943
塩谷町,93840,塩谷町立船生小学校,しおやちょうりつふにゅうしょうがっこう,栃木県塩谷町大字船生3660,0287-47-0030,,,1685,36.783994,139.786429
塩谷町,93840,塩谷町生涯学習センター,しおやまちしょうがいがくしゅうせんたー,栃木県塩谷町大字船生989-1,0287-48-7503,,,787,36.77295071,139.7808033
塩谷町,93840,ふにゅう保育園,ふにゅうほいくえん,栃木県塩谷町大字船生3600-1,0287-47-0144,,,385,36.77295071,139.7808033
塩谷町,93840,旧船生西小学校,きゅうふにゅうにししょうがっこう,栃木県塩谷町大字船生6000,0287-45-2210,,,1108,36.77295071,139.7808033
塩谷町,93840,塩谷町立大宮小学校,しおやちょうりつおおみやしょうがっこう,栃木県塩谷町大字大宮2166,0287-46-0014,,,1673,36.74206916,139.8772957
塩谷町,93840,旧大久保小学校,きゅうおおくぼしょうがっこう,栃木県塩谷町大字大久保1401,0287-45-1111,,,1042,36.730151,139.904637
塩谷町,93840,日々輝学園高等学校,ひびきがくえんこうとうがっこう,栃木県塩谷町大字大宮2475-1,0287-41-3841,,,1476,36.742998,139.868498
塩谷町,93840,道の駅　湧水の郷しおや,みちのえき　ゆうすいのさとしおや,栃木県塩谷町大字船生3733-1,0287-41-6101,,,539,36.764719,139.78047
塩谷町,93840,大宮コミュニティセンター,おおみやこみゅにてぃーせんたー,栃木県塩谷町大字大宮1028-2,0287-46-0116,,,307,36.736993,139.876704
塩谷町,93840,おおみや保育園,おおみやほいくえん,栃木県塩谷町大字大宮2108-1,0287-46-0304,,,300,36.74206916,139.8772957
塩谷町,93840,田所体育館,たどころたいいくかん,栃木県塩谷町大字田所973,0287-48-7503,,,375,36.757632,139.882744
壬生町,93611,壬生小学校,みぶしょうがっこう,栃木県壬生町本丸２丁目３－７,0282-82-0049,1,,"4,663",36.42538310921815,139.7986489534378
壬生町,93611,壬生中央公民館,みぶちゅうおうこうみんかん,栃木県壬生町本丸１丁目８,0282-82-0108,1,,"2,234",36.427821823409104,139.79741513729095
壬生町,93611,藤井小学校,ふじいしょうがっこう,栃木県壬生町大字藤井１２６７,0282-82-0102,1,,"1,567",36.41622321890885,139.8155575990677
壬生町,93611,壬生中学校,みぶちゅうがっこう,栃木県壬生町大字壬生甲２７７０,0282-82-6690,,,"5,909",36.43881450960271,139.79584872722626
壬生町,93611,総合運動場,そうごううんどうじょう,栃木県壬生町大字壬生甲３８２８,0282-82-2345,1,,"1,686",36.443349,139.81593600000002
壬生町,93611,壬生東小学校,みぶひがししょうがっこう,栃木県壬生町落合３丁目５－２１,0282-82-0079,1,,"2,979",36.455229,139.8215565
壬生町,93611,稲葉小学校,いなばしょうがっこう,栃木県壬生町大字上稲葉８８１,0282-82-1004,1,,"2,110",36.450585,139.77790199999998
壬生町,93611,稲葉地区公民館,いなばちくこうみんかん,栃木県壬生町大字上稲葉９３２,0282-82-7374,1,,312,36.448515,139.77954
壬生町,93611,羽生田小学校,はにゅうだしょうがっこう,栃木県壬生町大字羽生田２１３９-１,0282-82-1022,1,,"1,541",36.47466,139.77714150000003
壬生町,93611,睦小学校,むつみしょうがっこう,栃木県壬生町大字壬生丁２３０-１,0282-82-4824,1,,"2,495",36.460836,139.837293
壬生町,93611,南犬飼中学校,みなみいぬかいしょうがっこう,栃木県壬生町大字北小林７４３,0282-86-0134,1,,"6,046",36.47943000000001,139.8249765
壬生町,93611,南犬飼地区公民館,みなみいぬかいちくこうみんかん,栃木県壬生町大字安塚１１７９,0282-86-0031,1,,"1,249",36.479817,139.83236549999998
壬生町,93611,安塚小学校,やすづかしょうがっこう,栃木県壬生町大字安塚２０７８,0282-86-0034,1,,"2,369",36.48978,139.830984
壬生町,93611,壬生北小学校,みぶきたしょうがっこう,栃木県壬生町大字北小林１９０,0282-86-0064,1,,"1,901",36.48555,139.8099735
壬生町,93611,総合公園,そうごうこうえん,栃木県壬生町大字国谷７８３－１,0282-86-7117,1,,712,36.461601,139.80945150000002
壬生町,93611,嘉陽が丘ふれあい広場,かようがおかふれあいひろｂ,栃木県壬生町大字上稲葉１０５６-８,0282-82-1014,1,,676,36.45252000000001,139.78778850000003
壬生町,93611,ふれあい交流館,ふれあいこうりゅうかん,栃木県壬生町大字壬生甲６０４-６,0282-82-8818,1,,275,36.428931000000006,139.808511
壬生町,93611,壬生町保健福祉センター,みぶまちほけんふくしせんたー,栃木県壬生町壬生甲３８４３-１,0282-81-1400,1,1,838,36.442890000000006,139.81248900000003
壬生町,93611,しもつけ荘,しもつけそう,栃木県壬生町北小林８１２,0282-86-0177,1,1,15,36.47514600000001,139.82088149999998
壬生町,93611,グループホーム元気,ぐるーぷほーむげんき,栃木県壬生町壬生甲２２２４-１,0282-28-6118,1,1,10,36.43248637000005,139.8152884140001
大田原市,9210,大田原体育館･武道館,おおたわらたいいくかん・ぶどうかん,大田原市本町1-1-1,287228017,1,,794,36.86689167,140.0213667
大田原市,9210,大田原小学校,おおたわらしょうがっこう,大田原市城山1-4-36,287233112,1,,653,36.86240278,140.0337222
大田原市,9210,西原小学校,にしはらしょうがっこう,大田原市美原3-2-8,287233112,1,,500,36.85592778,140.0050889
大田原市,9210,紫塚小学校,むらさきづかしょうがっこう,大田原市紫塚1-7-1,287233112,1,,500,36.87320278,140.0180722
大田原市,9210,大田原中学校,おおたわらちゅうがっこう,大田原市美原1-14-2,287233112,1,,746,36.85560833,140.0097944
大田原市,9210,若草中学校,わかくさちゅうがっこう,大田原市若草2-1234,287233112,1,,550,36.85387222,140.0438417
大田原市,9210,大田原高等学校,おおたわらこうとうがっこう,大田原市紫塚3-2651,286233372,1,,633,36.8733891,140.0205053
大田原市,9210,大田原女子高等学校,おおたわらじょしこうとうがっこう,大田原市元町1-5-43,286233372,1,,633,36.85918706,140.035806
大田原市,9210,大田原東地区公民館,おおたわらひがしちくこうみんかん,大田原市若草1-1287-1,287232100,1,,96,36.85068056,140.0433417
大田原市,9210,県立県北体育館,けんりつけんぽくたいいくかん,大田原市美原3-2-62,286233414,1,,1881,36.85648333,140.0046889
大田原市,9210,大田原西地区公民館,おおたわらにしちくこうみんかん,大田原市浅香3-3578-747,287232100,1,,229,36.85292194,140.0185417
大田原市,9210,勤労青少年ホーム,きんろうせいしょうねんほーむ,大田原市美原1-1-4,287238709,1,,90,36.85906111,140.0192167
大田原市,9210,金田北中学校,かねだきたちゅうがっこう,大田原市市野沢2067,287233112,1,,648,36.89178889,140.0519611
大田原市,9210,市野沢小学校,いちのさわしょうがっこう,大田原市市野沢2077,287233112,1,,305,36.89125833,140.0510611
大田原市,9210,羽田小学校,はんだしょうがっこう,大田原市羽田644,287233112,1,,310,36.908775,140.0884056
大田原市,9210,奥沢小学校,おくさわしょうがっこう,大田原市奥沢175,287233112,1,,295,36.853875,140.0713972
大田原市,9210,金丸小学校,かねまるしょうがっこう,大田原市南金丸1640,287233112,1,,301,36.86196639,140.0875083
